chrf,comet_seg,esa_bin,esa_score,id,langpair,src_lang,tgt_lang
51.08064035443225,,(0-64],59.0,43,en-ru,en,ru
70.19935821999907,,(64-91],75.0,44,en-ru,en,ru
68.39339803503768,,(64-91],90.0,45,en-ru,en,ru
67.00380268655516,,(0-64],50.0,46,en-ru,en,ru
71.5420419514902,,(0-64],62.0,47,en-ru,en,ru
75.27599976175026,,(64-91],66.0,48,en-ru,en,ru
68.30438699633957,,(64-91],65.0,49,en-ru,en,ru
81.58889999882953,,(91-100],92.0,50,en-ru,en,ru
67.73154449996368,,(64-91],69.0,51,en-ru,en,ru
69.82358487045252,,(0-64],60.0,52,en-ru,en,ru
68.55195730827975,,(64-91],67.0,682,en-ru,en,ru
60.891568514755726,,(0-64],50.0,717,en-ru,en,ru
71.73054107265787,,(0-64],58.0,690,en-ru,en,ru
87.512642909493,,(91-100],100.0,226,en-ru,en,ru
62.14554486014961,,(91-100],100.0,227,en-ru,en,ru
100.0,,(91-100],100.0,228,en-ru,en,ru
68.89268701601074,,(64-91],83.0,229,en-ru,en,ru
100.0,,(91-100],100.0,230,en-ru,en,ru
48.046427414357716,,(91-100],100.0,231,en-ru,en,ru
63.74241601865287,,(91-100],100.0,232,en-ru,en,ru
73.83160277047004,,(91-100],100.0,233,en-ru,en,ru
71.68286366833433,,(91-100],100.0,6,en-ru,en,ru
61.24554108115847,,(0-64],50.0,7,en-ru,en,ru
69.9700859831775,,(0-64],41.0,8,en-ru,en,ru
66.08357220605771,,(0-64],60.0,9,en-ru,en,ru
67.81491671985324,,(91-100],100.0,10,en-ru,en,ru
53.027670016184935,,(0-64],50.0,743,en-ru,en,ru
34.97541115123612,,(64-91],79.0,166,en-ru,en,ru
92.43099165291358,,(64-91],83.0,167,en-ru,en,ru
38.24902832324377,,(64-91],68.0,168,en-ru,en,ru
48.44538149329673,,(91-100],100.0,169,en-ru,en,ru
59.00039503563206,,(0-64],50.0,170,en-ru,en,ru
53.70645162329458,,(0-64],28.0,171,en-ru,en,ru
47.81134632216037,,(0-64],33.0,172,en-ru,en,ru
65.38248243062537,,(0-64],60.0,173,en-ru,en,ru
50.02119817913117,,(64-91],75.0,174,en-ru,en,ru
73.7863832556679,,(64-91],76.0,175,en-ru,en,ru
37.6240996402203,,(91-100],100.0,417,en-ru,en,ru
57.62879737319252,,(91-100],100.0,418,en-ru,en,ru
58.92909852069976,,(64-91],66.0,419,en-ru,en,ru
71.4552884580068,,(91-100],100.0,420,en-ru,en,ru
49.71842871322364,,(91-100],100.0,421,en-ru,en,ru
60.941608396617355,,(91-100],100.0,422,en-ru,en,ru
65.94367760486455,,(64-91],84.0,423,en-ru,en,ru
66.89007367072867,,(64-91],78.0,424,en-ru,en,ru
43.80514209790049,,(64-91],91.0,709,en-ru,en,ru
51.29273829618381,,(64-91],79.0,766,en-ru,en,ru
58.50638755956632,,(64-91],82.0,773,en-ru,en,ru
44.42773047265066,,(91-100],100.0,588,en-ru,en,ru
40.498487622018494,,(91-100],100.0,589,en-ru,en,ru
65.95746556806381,,(0-64],5.0,590,en-ru,en,ru
82.71775975011589,,(0-64],39.0,591,en-ru,en,ru
43.003352949376925,,(0-64],42.0,592,en-ru,en,ru
100.0,,(91-100],100.0,594,en-ru,en,ru
100.0,,(91-100],100.0,595,en-ru,en,ru
100.0,,(0-64],0.0,596,en-ru,en,ru
12.724614958566185,,(0-64],33.0,597,en-ru,en,ru
59.26379558385781,,(64-91],83.0,732,en-ru,en,ru
65.23449389739135,,(64-91],85.0,705,en-ru,en,ru
59.57324706966413,,(0-64],62.0,728,en-ru,en,ru
