count,difficulty_bin,langpair,model
28,(0.0-0.8641313217143293],en-de,TM_2bit
29,(0.0-0.8641313217143293],en-es,TM_2bit
31,(0.0-0.8641313217143293],en-nl,TM_2bit
40,(0.0-0.8641313217143293],en-zh,TM_2bit
33,(0.8641313217143293-0.9307763735422399],en-de,TM_2bit
34,(0.8641313217143293-0.9307763735422399],en-es,TM_2bit
33,(0.8641313217143293-0.9307763735422399],en-nl,TM_2bit
28,(0.8641313217143293-0.9307763735422399],en-zh,TM_2bit
37,(0.9307763735422399-0.9958426710938243],en-de,TM_2bit
31,(0.9307763735422399-0.9958426710938243],en-es,TM_2bit
32,(0.9307763735422399-0.9958426710938243],en-nl,TM_2bit
28,(0.9307763735422399-0.9958426710938243],en-zh,TM_2bit
1,UNBINNED,en-de,TM_2bit
1,UNBINNED,en-es,TM_2bit
